SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA,RANKING (OUT OF 3046),RATINGS
White Haven,105 Invergordon Avenue,Agincourt,M1S 2Z1,M1S,446.0,7.7
Wexford,1050 Pharmacy Avenue,Scarborough,M1R 2H1,M1R,1549.0,6.1
Norseman,105 Norseman Street,Etobicoke,M8Z 2R1,M8Z,334.0,7.9
King Edward,112 Lippincott Street,Toronto,M5S 2P1,M5S,2594.0,4.2
Orde Street,18 Orde Street,Toronto,M5T 1N7,M5T,388.0,7.8
Brimwood Boulevard,151 Brimwood Boulevard,Agincourt,M1V 1E5,M1V,1921.0,5.6
Burrows Hall,151 Burrows Hall Boulevard,Agincourt,M1B 1M5,M1B,947.0,6.9
Charles E Webster,1900 Keele Street,York,M6M 3X7,M6M,2315.0,4.9
Timberbank,170 Timberbank Boulevard,Agincourt,M1W 2A3,M1W,1549.0,6.1
Glen Park,101 Englemount Avenue,North York,M6B 4L5,M6B,1686.0,5.9
Chief Dan George,185 Generation Boulevard,Scarborough,M1B 2K5,M1B,2449.0,4.6
Kew Beach,101 Kippendavie Avenue,Toronto,M4L 3R3,M4L,1686.0,5.9
Eastview,20 Waldock Street,West Hill,M1E 2E5,M1E,2951.0,2.3
Birch Cliff Heights,120 Highview Avenue,Scarborough,M1N 2J1,M1N,1171.0,6.6
Terry Fox,185 Wintermute Boulevard,Agincourt,M1W 3M9,M1W,622.0,7.4
William G Davis,128 East Avenue,West Hill,M1C 3L6,M1C,622.0,7.4
Fern Avenue,128 Fern Avenue,Toronto,M6R 1K3,M6R,865.0,7.0
Niagara Street,222 Niagara Street,Toronto,M6J 2L3,M6J,334.0,7.9
Fairbank,2335 Dufferin Street,York,M6E 3S5,M6E,2449.0,4.6
Anson S Taylor,20 Placentia Boulevard,Agincourt,M1S 4C5,M1S,2052.0,5.4
Lynngate,129 Cass Avenue,Agincourt,M1T 2B5,M1T,2529.0,4.4
Danforth Gardens,20 Santamonica Boulevard,Scarborough,M1L 4H4,M1L,1024.0,6.8
John Ross Robertson,130 Glengrove Avenue West,Toronto,M4R 1P2,M4R,34.0,9.3
Leslieville,254 Leslie Street,Toronto,M4M 3C9,M4M,2210.0,5.1
Annette Street,265 Annette Street,Toronto,M6P 1R3,M6P,1921.0,5.6
Chester Le,201 Chester Le Boulevard,Agincourt,M1W 2K7,M1W,2848.0,3.2
Maryvale,1325 Pharmacy Avenue,Scarborough,M1R 2J1,M1R,2680.0,3.9
Silver Springs,222 Silver Springs Boulevard,Agincourt,M1V 1S4,M1V,2100.0,5.3
Brookmill Boulevard,25 Brookmill Boulevard,Agincourt,M1W 2L5,M1W,102.0,8.7
Perth Avenue,14 Ruskin Avenue,Toronto,M6P 3P8,M6P,2052.0,5.4
Iroquois,265 Chartland Boulevard South,Agincourt,M1S 2S6,M1S,58.0,9.0
Lord Dufferin,350 Parliament Street,Toronto,M5A 2Z7,M5A,1400.0,6.3
Armour Heights,148 Wilson Avenue,North York,M5M 3A5,M5M,163.0,8.4
Earl Haig,15 Earl Haig Avenue,Toronto,M4C 1E2,M4C,284.0,8.0
Shaughnessy,30 Shaughnessy Boulevard,North York,M2J 1H5,M2J,1984.0,5.5
North Bendale,29 Aveline Crescent,Scarborough,M1H 2P4,M1H,250.0,8.1
Anson Park,30 MacDuff Crescent,Scarborough,M1M 1X5,M1M,796.0,7.1
Brock,93 Margueretta Street,Toronto,M6H 3S4,M6H,2210.0,5.1
Pauline Johnson,35 Dunmurray Boulevard,Agincourt,M1T 2K2,M1T,2491.0,4.5
Percy Williams,35 White Heather Boulevard,Agincourt,M1V 1P6,M1V,213.0,8.2
Glamorgan,51 Antrim Crescent,Scarborough,M1P 4N4,M1P,796.0,7.1
Elizabeth Simcoe,166 Sylvan Avenue,Scarborough,M1E 1A3,M1E,1322.0,6.4
Roselands,990 Jane Street,York,M6N 4E2,M6N,1322.0,6.4
North Bridlewood,50 Collingsbrook Boulevard,Agincourt,M1W 1L7,M1W,1246.0,6.5
Denlow,50 Denlow Boulevard,North York,M3B 1P7,M3B,34.0,9.3
Joyce,26 Joyce Parkway,North York,M6B 2S9,M6B,1171.0,6.6
Glen Ravine,11 Gadsby Drive,Scarborough,M1K 4V4,M1K,1096.0,6.7
Gateway,55 Gateway Boulevard,North York,M3C 1B4,M3C,1921.0,5.6
Cordella,175 Cordella Avenue,York,M6N 2K1,M6N,2210.0,5.1
Bridlewood,60 Bridlewood Boulevard,Agincourt,M1T 1P7,M1T,334.0,7.9
William Tredway,112 Sedgemount Drive,Scarborough,M1H 1X9,M1H,1984.0,5.5
Morse Street,180 Carlaw Avenue,Toronto,M4M 2R9,M4M,1246.0,6.5
McMurrich,115 Winona Drive,Toronto,M6G 3S8,M6G,1096.0,6.7
Morrish,61 Canmore Boulevard,Scarborough,M1C 3T7,M1C,446.0,7.7
Beverly Glen,85 Beverly Glen Boulevard,Agincourt,M1W 1W4,M1W,43.0,9.2
Charlottetown,85 Charlottetown Boulevard,West Hill,M1C 2C7,M1C,1246.0,6.5
Gledhill,2 Gledhill Avenue,Toronto,M4C 5K6,M4C,2491.0,4.5
Alexmuir,95 Alexmuir Boulevard,Agincourt,M1V 1H6,M1V,1024.0,6.8
Swansea,207 Windermere Avenue,Toronto,M6S 3J9,M6S,47.0,9.1
Whitney,119 Rosedale Heights Drive,Toronto,M4T 1C7,M4T,25.0,9.5
Lucy Maud Montgomery,95 Murison Boulevard,Scarborough,M1B 2L6,M1B,2529.0,4.4
Market Lane,246 The Esplanade,Toronto,M5A 4J6,M5A,2052.0,5.4
Terraview-Willowfield,95 Pachino Boulevard,Scarborough,M1R 4K1,M1R,2210.0,5.1
Blake Street,21 Boultbee Avenue,Toronto,M4J 1A7,M4J,2400.0,4.7
Agnes Macphail,112 Goldhawk Trail,Agincourt,M1V 1W5,M1V,446.0,7.7
Berner Trail,120 Berner Trail,Agincourt,M1B 1B3,M1B,1246.0,6.5
Dixon Grove,315 The Westway,Etobicoke,M9R 1H1,M9R,2594.0,4.2
Cedar Drive,21 Gatesview Avenue,Scarborough,M1J 3G4,M1J,2652.0,4.0
Milliken,130 Port Royal Trail,Agincourt,M1V 2T4,M1V,102.0,8.7
Highland Heights,35 Glendower Circuit,Agincourt,M1T 2Z3,M1T,2976.0,1.8
Mary Shadd,135 Hupfield Trail,Scarborough,M1B 4R6,M1B,1549.0,6.1
West Humber,15 Delsing Drive,Etobicoke,M9W 4S7,M9W,622.0,7.4
Highland Creek,1410 Military Trail,West Hill,M1C 1A8,M1C,947.0,6.9
Fairglen,2200 Pharmacy Avenue,Agincourt,M1W 1H8,M1W,213.0,8.2
Grey Owl,150 Wickson Trail,Agincourt,M1B 1M4,M1B,2449.0,4.6
Hunter's Glen,16 Haileybury Drive,Scarborough,M1K 4X5,M1K,681.0,7.3
Cornell,61 Holmfirth Terrace,Scarborough,M1G 1G8,M1G,740.0,7.2
Tom Longboat,37 Crow Trail,Scarborough,M1B 1X6,M1B,1616.0,6.0
Poplar Road,66 Dearham Wood,West Hill,M1E 1S4,M1E,1400.0,6.3
Lord Roberts,165 Lord Roberts Drive,Scarborough,M1K 3W5,M1K,1096.0,6.7
Highcastle,370 Military Trail,West Hill,M1E 4E6,M1E,2100.0,5.3
Givins/Shaw,49 Givins Street,Toronto,M6J 2X5,M6J,495.0,7.6
Banting and Best,380 Goldhawk Trail,Agincourt,M1V 4E7,M1V,622.0,7.4
Garden Avenue,225 Garden Avenue,Toronto,M6R 1M9,M6R,495.0,7.6
Port Royal,408 Port Royal Trail,Agincourt,M1V 4R1,M1V,84.0,8.8
Alexander Stirling,70 Fawcett Trail,Scarborough,M1B 3A9,M1B,2400.0,4.7
Dovercourt,228 Bartlett Avenue,Toronto,M6H 3G4,M6H,2594.0,4.2
Malvern,70 Mammoth Hall Trail,Agincourt,M1B 1P6,M1B,1844.0,5.7
Avondale,171 Avondale Avenue,North York,M2N 2V4,M2N,1686.0,5.9
Blantyre,290 Blantyre Avenue,Scarborough,M1N 2S4,M1N,1171.0,6.6
Ogden,33 Phoebe Street,Toronto,M5T 1A8,M5T,1470.0,6.2
Dunlace,20 Dunlace Drive,North York,M2L 2S1,M2L,123.0,8.6
West Hill,299 Morningside Avenue,West Hill,M1E 3G1,M1E,2848.0,3.2
Corvette,30 Corvette Avenue,Scarborough,M1K 3G2,M1K,2652.0,4.0
General Mercer,30 Turnberry Avenue,Toronto,M6N 1P8,M6N,2835.0,3.3
Shirley Street,38 Shirley Street,Toronto,M6K 1S9,M6K,1400.0,6.3
Thomas L Wells,69 Nightstar Road,Scarborough,M1X 1V6,M1X,163.0,8.4
Rosedale,22 South Drive,Toronto,M4W 1R1,M4W,102.0,8.7
Nelson Mandela Park,440 Shuter Street,Toronto,M5A 1X6,M5A,2835.0,3.3
Inglewood Heights,45 Dempster Street,Agincourt,M1T 2T6,M1T,284.0,8.0
Brookside,75 Oasis Blvd,Scarborough,M1X 0A3,M1X,796.0,7.1
Essex,50 Essex Street,Toronto,M6G 1T3,M6G,2560.0,4.3
Ossington/Old Orchard,380 Ossington Avenue,Toronto,M6J 3A5,M6J,47.0,9.1
Harwood,50 Leigh Street,York,M6N 3X3,M6N,2263.0,5.0
Allenby,391 St Clements Avenue,Toronto,M5N 1M2,M5N,213.0,8.2
Huron Street,541 Huron Street,Toronto,M5R 2R6,M5R,1096.0,6.7
Cedarbrook,56 Nelson Street,Scarborough,M1J 2V6,M1J,1096.0,6.7
Valleyfield,35 Saskatoon Drive,Etobicoke,M9P 2E8,M9P,2052.0,5.4
West Rouge,401 Friendship Avenue,West Hill,M1C 2X8,M1C,559.0,7.5
Pape Avenue,220 Langley Avenue,Toronto,M4K 1B9,M4K,284.0,8.0
Heritage Park,80 Old Finch Avenue,Scarborough,M1B 5J2,M1B,865.0,7.0
Woburn,40 Dormington Drive,Scarborough,M1G 3N2,M1G,1844.0,5.7
Islington,44 Cordova Avenue,Etobicoke,M9A 2H5,M9A,947.0,6.9
The Elms,45 Golfdown Drive,Etobicoke,M9W 2H8,M9W,2052.0,5.4
Grenoble,9 Grenoble Drive,North York,M3C 1C3,M3C,2622.0,4.1
Willow Park,45 Windover Drive,Scarborough,M1G 1P1,M1G,2652.0,4.0
Tam O'Shanter,21 King Henrys Boulevard,Agincourt,M1T 2V3,M1T,2315.0,4.9
Walter Perry,45 Falmouth Avenue,Scarborough,M1K 4M7,M1K,2315.0,4.9
Manhattan Park,90 Manhattan Drive,Scarborough,M1R 3V8,M1R,2711.0,3.8
Charles G Fraser,79 Manning Avenue,Toronto,M6J 2K6,M6J,1024.0,6.8
Lanor,450 Lanor Avenue,Etobicoke,M8W 2S1,M8W,1844.0,5.7
Bellmere,470 Brimorton Drive,Scarborough,M1H 2E6,M1H,123.0,8.6
John A Leslie,459 Midland Avenue,Scarborough,M1N 4A7,M1N,740.0,7.2
North Preparatory,1100 Spadina Road,Toronto,M5N 2M6,M5N,446.0,7.7
Heather Heights,80 Slan Avenue,Scarborough,M1G 3B5,M1G,1549.0,6.1
Clinton Street,460 Manning Avenue,Toronto,M6G 2V7,M6G,622.0,7.4
Bedford Park,81 Ranleigh Avenue,Toronto,M4N 1X2,M4N,123.0,8.6
Vradenburg,50 Vradenberg Drive,Agincourt,M1T 1M6,M1T,1024.0,6.8
Courcelette,100 Fallingbrook Road,Scarborough,M1N 2T6,M1N,144.0,8.5
John English,95 Mimico Avenue,Etobicoke,M8V 1R4,M8V,388.0,7.8
Kimberley,50 Swanwick Avenue,Toronto,M4E 2Z5,M4E,1246.0,6.5
Rose Avenue,675 Ontario Street,Toronto,M4X 1N4,M4X,1549.0,6.1
Chine Drive,51 Chine Drive,Scarborough,M1M 2K8,M1M,67.0,8.9
Keele Street,99 Mountview Avenue,Toronto,M6P 2L5,M6P,1769.0,5.8
Mountview Alternative,99 Mountview Avenue,Toronto,M6P 2L5,M6P,284.0,8.0
Second Street,71 Second Street,Etobicoke,M8V 2X4,M8V,1549.0,6.1
Bruce,51 Larchmount Avenue,Toronto,M4M 2Y6,M4M,1470.0,6.2
St Andrews,60 Brimorton Drive,Scarborough,M1P 3Z1,M1P,284.0,8.0
Wilkinson,53 Donlands Avenue,Toronto,M4J 3N7,M4J,495.0,7.6
George P Mackie,60 Heathfield Drive,Scarborough,M1M 3B1,M1M,947.0,6.9
Norman Cook,725 Danforth Road,Scarborough,M1K 1G4,M1K,1844.0,5.7
Bendale,61 Benshire Drive,Scarborough,M1H 1M4,M1H,446.0,7.7
Golf Road,730 Scarborough Golf Club Road,Scarborough,M1G 1H7,M1G,2157.0,5.2
General Brock,140 Chestnut Crescent,Scarborough,M1L 1Y5,M1L,2560.0,4.3
Ellesmere-Statton,739 Ellesmere Road,Scarborough,M1P 2W1,M1P,1616.0,6.0
Norway,390 Kingston Road,Toronto,M4L 1T9,M4L,681.0,7.3
Blythwood,2 Strathgowan Crescent,Toronto,M4N 2Z5,M4N,47.0,9.1
Earl Beatty,55 Woodington Avenue,Toronto,M4C 3J6,M4C,1171.0,6.6
Kennedy,20 Elmfield Crescent,Scarborough,M1V 2Y6,M1V,163.0,8.4
Meadowvale,761 Meadowvale Road,West Hill,M1C 1T1,M1C,865.0,7.0
Beaumonde Heights,70 Monterrey Drive,Etobicoke,M9V 1T1,M9V,796.0,7.1
Clairlea,25 Rosalind Crescent,Scarborough,M1L 2X1,M1L,1984.0,5.5
Forest Hill,78 Dunloe Road,Toronto,M5P 2T6,M5P,123.0,8.6
West Preparatory,70 Ridge Hill Drive,Toronto,M6C 2J6,M6C,250.0,8.1
Mason Road,78 Mason Road,Scarborough,M1M 3R2,M1M,1322.0,6.4
Regent Heights,555 Pharmacy Avenue,Scarborough,M1L 3H1,M1L,865.0,7.0
Bowmore Road,80 Bowmore Road,Toronto,M4L 3J2,M4L,2052.0,5.4
Indian Road Crescent,285 Indian Road Crescent,Toronto,M6P 2G8,M6P,681.0,7.3
Harrison,81 Harrison Road,North York,M2L 1V9,M2L,1024.0,6.8
George B Little,125 Orton Park Road,Scarborough,M1G 3G9,M1G,1096.0,6.7
Donwood Park,61 Dorcot Avenue,Scarborough,M1P 3K5,M1P,1246.0,6.5
Ionview,90 Ionview Road,Scarborough,M1K 2Z9,M1K,2966.0,2.0
Warden Avenue,644 Warden Avenue,Scarborough,M1L 3Z3,M1L,2652.0,4.0
Dewson Street,65 Concord Avenue,Toronto,M6H 2N9,M6H,284.0,8.0
Warren Park,135 Varsity Road,York,M6S 4P4,M6S,1400.0,6.3
Regal Road,95 Regal Road,Toronto,M6H 2J6,M6H,1096.0,6.7
George Peck,1 Wayne Avenue,Scarborough,M1R 1Y1,M1R,1549.0,6.1
Queen Victoria,100 Close Avenue,Toronto,M6K 2V3,M6K,2052.0,5.4
Palmerston Avenue,734 Palmerston Avenue,Toronto,M6G 2R4,M6G,284.0,8.0
Pauline,100 Pauline Avenue,Toronto,M6H 3M8,M6H,1549.0,6.1
Parkdale,78 Seaforth Avenue,Toronto,M6K 3L2,M6K,2904.0,2.8
Jackman Avenue,79 Jackman Avenue,Toronto,M4K 2X5,M4K,334.0,7.9
Deer Park,23 Ferndale Avenue,Toronto,M4T 2B4,M4T,740.0,7.2
Park Lawn,71 Ballacaine Drive,Etobicoke,M8Y 4B6,M8Y,334.0,7.9
Churchill Heights,749 Brimorton Drive,Scarborough,M1G 2S4,M1G,559.0,7.5
Roden,151 Hiawatha Road,Toronto,M4L 2Y1,M4L,2052.0,5.4
Birch Cliff,1650 Kingston Road,Scarborough,M1N 1S2,M1N,1322.0,6.4
Galloway Road,192 Galloway Road,West Hill,M1E 1X2,M1E,2735.0,3.7
C D Farquharson,1965 Brimley Road,Agincourt,M1S 2B1,M1S,67.0,8.9
North Kipling,2 Rowntree Road,Etobicoke,M9V 5C7,M9V,796.0,7.1
Gulfstream,20 Gulfstream Road,North York,M9M 1S3,M9M,1616.0,6.0
Fleming,20 Littles Road,Scarborough,M1B 5B5,M1B,25.0,9.5
Rippleton,21 Rippleton Road,North York,M3B 1H4,M3B,446.0,7.7
Guildwood,225 Livingston Road,Scarborough,M1E 1L8,M1E,1171.0,6.6
Edgewood,230 Birkdale Road,Scarborough,M1P 3S4,M1P,2157.0,5.2
St Margaret's,235 Galloway Road,West Hill,M1E 1X5,M1E,2735.0,3.7
Alexander Muir/Gladstone Ave,108 Gladstone Avenue,Toronto,M6J 3L2,M6J,559.0,7.5
Williamson Road,24 Williamson Road,Toronto,M4E 1K5,M4E,1096.0,6.7
King George,25 Rexford Road,York,M6S 2M2,M6S,865.0,7.0
Joseph Brant,270 Manse Road,West Hill,M1E 3V4,M1E,2848.0,3.2
Centennial Road,271 Centennial Road,West Hill,M1C 2A2,M1C,123.0,8.6
Dorset Park,28 Blaisdale Road,Scarborough,M1P 1V6,M1P,2263.0,5.0
Rouge Valley,30 Durnford Road,Scarborough,M1B 4X3,M1B,1686.0,5.9
General Crerar,30 McGregor Road,Scarborough,M1P 1C8,M1P,2491.0,4.5
F H Miller,300 Caledonia Road,York,M6E 4T5,M6E,3011.0,0.7
Maple Leaf,301 Culford Road,North York,M6L 2V4,M6L,1171.0,6.6
H A Halbert,31 McCowan Road,Scarborough,M1M 3L7,M1M,2400.0,4.7
Military Trail,701 Military Trail,West Hill,M1E 4P6,M1E,2652.0,4.0
Emily Carr,90 John Tabor Trail,Scarborough,M1B 2V2,M1B,740.0,7.2
Greenholme,10 Jamestown Crescent,Etobicoke,M9V 3M5,M9V,2361.0,4.8
John Wanless,245 Fairlawn Avenue,Toronto,M5M 1T2,M5M,144.0,8.5
Withrow Avenue,25 Bain Avenue,Toronto,M4K 1E5,M4K,58.0,9.0
Pleasant,288 Pleasant Avenue,North York,M2R 2R1,M2R,1400.0,6.3
Agincourt,29 Lockie Avenue,Agincourt,M1S 1N3,M1S,250.0,8.1
Fairmount,31 Sloley Road,Scarborough,M1M 1C7,M1M,2315.0,4.9
Runnymede,357 Runnymede Road,Toronto,M6S 2Y7,M6S,102.0,8.7
Buchanan,4 Bucannan Road,Scarborough,M1R 3V3,M1R,2100.0,5.3
Adam Beck,400 Scarborough Road,Toronto,M4E 3M8,M4E,388.0,7.8
Davisville,43 Millwood Road,Toronto,M4S 1J6,M4S,123.0,8.6
John McCrae,431 McCowan Road,Scarborough,M1J 1J1,M1J,2157.0,5.2
Albion Heights,45 Lynmont Road,Etobicoke,M9V 3W9,M9V,2157.0,5.2
Brown,454 Avenue Road,Toronto,M4V 2J1,M4V,559.0,7.5
J G Workman,487 Birchmount Road,Scarborough,M1K 1N7,M1K,2680.0,3.9
William G Miller,60 Bennett Road,West Hill,M1E 3Y3,M1E,1984.0,5.5
North Agincourt,60 Moran Road,Agincourt,M1S 2J3,M1S,681.0,7.3
Rockford,60 Rockford Road,North York,M2R 3A7,M2R,1400.0,6.3
Jesse Ketchum,61 Davenport Road,Toronto,M5R 1H4,M5R,2052.0,5.4
Humber Valley Village,65 Hartfield Road,Etobicoke,M9A 3E1,M9A,34.0,9.3
John G Diefenbaker,70 Dean Park Road,Scarborough,M1B 2X3,M1B,622.0,7.4
Duke of Connaught,70 Woodfield Road,Toronto,M4L 2W6,M4L,1024.0,6.8
Church Street,83 Alexander Street,Toronto,M4Y 1B7,M4Y,2400.0,4.7
Chartland,109 Chartland Boulevard South,Agincourt,M1S 2R7,M1S,388.0,7.8
Owen,111 Owen Boulevard,North York,M2P 1G6,M2P,334.0,7.9
David Lewis,130 Fundy Bay Boulevard,Agincourt,M1W 3G1,M1W,67.0,8.9
Sir Samuel B Steele,131 Huntsmill Boulevard,Agincourt,M1W 2Y2,M1W,681.0,7.3
Macklin,136 Ingleton Boulevard,Scarborough,M1V 2Y4,M1V,2157.0,5.2
Summit Heights,139 Armour Boulevard,North York,M3H 1M1,M3H,84.0,8.8
Island Public/Natural Science,30 Centre Island Pk ,Toronto,M5J 2E9,M5J,102.0,8.7
Northlea,305 Rumsey Rd ,Toronto,M4G 1R4,M4G,194.0,8.3
Rolph Road,31 Rolph Rd ,Toronto,M4G 3M5,3M5,284.0,8.0
Alvin Curling,50 Upper Rouge Trail,Toronto,M1B 6K4,M1B,334.0,7.9
The Waterfront,635 Queen's Quay W ,Toronto,M5V 3G3,M5V,334.0,7.9
Frankland,816 Logan Ave,Toronto,M4K 3E1,M4K,388.0,7.8
Lambton Kingsway,525 Prince Edward Dr ,Toronto,M8X 2M6,M8X,388.0,7.8
Bennington Heights,76 Bennington Heights Dr,Toronto,M4G 1B1,M4G,446.0,7.7
Humberwood Downs,850 Humberwood Blvd,Toronto,M9W 7A6,M9W,446.0,7.7
Balmy Beach,14 Pine Ave,Toronto,M4E 1L6,M4E,495.0,7.6
Ledbury Park,95 Falkirk St ,Toronto,M5M 4K1,M5M,495.0,7.6
Hillcrest,44 Hilton Ave,Toronto,M5R 3E6,M5R,622.0,7.4
Hawthorne II Bilingual,50 Essex St,Toronto,M6G 1T3,M6G,796.0,7.1
Humewood,15 Cherrywood Ave ,Toronto,M6C 2X4,M6C,1096.0,6.7
Dublin Heights,100 Bainbridge Ave ,Toronto,M3H 2K2,M3H,1400.0,6.3
James S Bell,90 Thirty First St ,Toronto,M8W 3E9,M8W,1400.0,6.3
Sprucecourt,70 Spruce St ,Toronto,M5A 2J1,M5A,1549.0,6.1
Faywood Arts,95 Faywood Blvd ,Toronto,M3H 2X5,M3H,1984.0,5.5
Ryerson,96 Denison Ave ,Toronto,M5T 1E4,M5T,1984.0,5.5
Whole Child,151 Hiawatha Road ,Toronto,M4L 2Y1,M4L,1984.0,5.5
George Webster,2 Cedarcrest Blvd,Toronto,M4B 2N9,M4B,2263.0,5.0
Carleton Village,315 Osler St ,Toronto,M6N 2Z4,M6N,2361.0,4.8
Elmbank,10 Pittsboro Dr ,Toronto,M9V 3R4,M9V,2361.0,4.8
J R Wilcox,231 Ava Rd,Toronto,M6C 1X3,M6C,2529.0,4.4
Rawlinson,231 Glenholme Ave,Toronto,M6E 3C7,M6E,2560.0,4.3
Kane,300 Kane Ave,Toronto,M6M 3P1,M6M,2594.0,4.2
Portage Trail Junior Community,100 Sidney Belsey Cres,Toronto,M6M 5H6,M6M,2652.0,4.0
Knob Hill,25 Seminole Ave ,Toronto,M1J 1M8,M1J,2711.0,3.8
R J Lang,227 Drewry Ave ,Toronto,M2M 1E3,M2M,2971.0,1.9
First Nations School of Toronto,935 Dundas St E,Toronto,M4M 1R4,M4M,2985.0,1.6
